NOMBRE;TIPOS COLONIAS ID;CODIGOS POSTALES MUNICIPIOS ID
GUANAJUATO CENTRO;1;7047
ALAMEDA;1;7048
CATA;1;7049
MELLADO;1;7049
GARRAPATA;1;7049
CERRO DE SAN ANTONIO;1;7050
LA GUALDRA;1;7050
SAN LUISITO;1;7050
EX-HACIENDA DE DURÁN;1;7051
EX-HACIENDA DE LUNA;1;7051
NUEVO;1;7051
LAS HUERTAS;1;7052
LAS PALMAS;1;7052
CERRO DEL CUARTO;1;7052
LA CALZADA;1;7052
MINERA;1;7052
MISIÓN DEL QUIJOTE;21;7052
MODELO;1;7052
CERRO DE SIRENA;1;7053
CERRO DEL SAGRADO CORAZÓN;1;7053
JALES DE DURÁN;1;7053
SAN JAVIER;1;7054
LOMAS DE SAN MATÍAS;1;7054
VALENCIANA;1;7055
CERRO DEL ERIZO;1;7055
FILTROS DE VALENCIANA;1;7055
LOMAS DE VALENCIANA;1;7055
CERRO DE LA GARITA;1;7056
DE LA COCHERA;1;7056
EL CARRIZO;1;7057
PANTEÓN;1;7057
LA VENADA;1;7057
MARAVILLAS;1;7057
ARROYO DEL PIRÚL;1;7058
DEL PUEBLITO DE ROCHA;1;7058
PUEBLITO DE ROCHA;1;7059
ENCINO;1;7059
SANTA FE;1;7059
LA LUZ;1;7059
LA ALDANA (RAMÓN RANGEL);1;7059
PRESA DE ROCHA;1;7060
ARROYO ALDANA;1;7061
DEL BOSQUE;1;7061
LOS PINOS;1;7061
NORIA ALTA;1;7062
SAN ANTONIO;1;7063
SAN GABRIEL DE BARRERA;1;7063
LA ESCALERA SAN JAVIER;1;7064
GAVILÁNES;1;7064
LOMA BONITA;2;7065
LOMA POZUELOS;1;7065
RESIDENCIAL REAL DE SAN JUAN;1;7065
CAMINO REAL;1;7065
CERRO DEL HORMIGUERO;1;7065
LAS TERRAZAS;1;7065
MOLINO DEL REY;1;7065
MUNICIPIO LIBRE;1;7066
NUEVO GUANAJUATO;1;7067
PICACHOS;24;7067
CERRO DE SAN MIGUEL;1;7067
CERRO DEL GALLO;1;7067
POZUELOS;1;7067
PASTITA;1;7068
ZAPOTE;1;7068
CERRO DE LOS LEONES;1;7068
CERRO DE LA BOLITA;1;7068
PEÑOLERA;1;7069
CERRO DE GUIJAS;1;7069
PEÑAFIEL;1;7069
UNIVERSITARIO;2;7070
PASEO DE LA PRESA;1;7070
LOMAS DE ZARAGOZA;1;7070
EL SAUCILLO;1;7070
EMBAJADORAS;1;7070
LA BUFA;1;7070
SILAO CENTRO;1;7071
LA SIERRA;2;7072
JARDINES DE LA VICTORIA;1;7073
VILLA ESMERALDA;2;7073
NUEVO MUNDO;1;7074
VALLE DE SAN JOSÉ;2;7074
LA HACIENDA;1;7074
NORIA DE SOPEÑA;2;7074
LORENZO MOSQUEDA;1;7074
NORIA DE SOPEÑA II;2;7074
LOMAS NORIA SOPEÑA;2;7074
LAS COLINAS;10;7075
EL FARO;2;7076
SOPEÑA;1;7077
LA MONTAÑA;1;7077
LA HUERTA;1;7077
LA LOMA;1;7077
VILLAS DE SAN MIGUEL;2;7077
LOS ÁNGELES;1;7078
SANTIAGO APÓSTOL;1;7078
LA CRUZ;1;7078
LAS CRUCES;1;7078
SAN JUAN BAUTISTA;1;7078
MÉXICO;1;7079
RINCONADA DE LAS FLORES;2;7079
VILLAS DE SILAO;1;7079
EL CRUCERO;2;7080
ARBOLADA RESIDENCIAL;2;7081
FRANCO;1;7081
LA VÍA 1;1;7081
LOS FRESNOS;2;7081
EX HACIENDA DE FRANCO;2;7081
VALLE DE LAS HUERTAS;2;7081
LA VÍA 2;1;7082
QUINTA SAN JOSÉ;1;7082
PARQUE INDUSTRIAL APOLO;15;7083
LA JOYITA;1;7084
LAS BRISAS;2;7085
VILLAS DE GUADALUPE;1;7085
SOLIDARIDAD UNO;1;7085
HACIENDA DE SILAO;2;7085
LA CURVA;2;7085
EL CAMPANARIO;1;7085
BRISAS DE LOS RÍOS;1;7086
PROGRESO;1;7087
ANAHUAC;1;7088
LAS LOMAS;1;7088
GUADALUPE;1;7089
HACIENDA DE CERRITOS (TIERRA Y LIBERTAD);1;7090
REFORMA;2;7091
ADOLFO LÓPEZ MATEOS;1;7092
CAMPAMENTO DEL FERROCARRIL;1;7092
EL OLIVO;2;7093
LOS PINABETES;2;7094
BUENAVISTA;1;7095
