NOMBRE;TIPOS COLONIAS ID;CODIGOS POSTALES MUNICIPIOS ID
CENTRO COMERCIAL PLAZA DEL VALLE;7;19188
EL ARROYO;1;19189
REAL CASA BLANCA;1;19189
LÁZARO CÁRDENAS 1A SECC;1;19189
SAN MARTÍN MEXICAPAN;1;19189
PONIENTE SAN MARTÍN MEXICAPAN;1;19189
NETZAHUALCOYOTL;1;19189
MONTOYA;1;19190
JARDINES DE LAS LOMAS;2;19190
LOS ÁLAMOS INFONAVIT;2;19190
LOS ÁLAMOS I.V.O.;2;19190
VILLAS MONTEALBÁN;2;19190
I.V.O. MONTOYA;2;19190
JACARANDAS;2;19191
LA JOYA;1;19191
ARBOLEDAS;2;19191
ESTADO DE OAXACA;1;19191
AZUCENA;1;19191
EJIDAL;1;19191
ITANDEHUI;1;19192
LÁZARO CÁRDENAS 2A SECC;1;19192
MARGARITA MAZA DE JUÁREZ;1;19192
MIGUEL HIDALGO;1;19192
MARGARITA MAZA 2A. SECCIÓN;1;19192
PRESIDENTE JUÁREZ;1;19192
LOMAS DE LOS PINOS;1;19192
LUIS DONALDO COLOSIO;1;19192
EMILIANO ZAPATA;1;19193
REAL CASA BLANCA;24;19193
REAL SAN MARTÍN;2;19193
JARDINES;1;19194
CALIFORNIA;1;19195
LOMAS DE SAN JUAN;2;19195
EL COQUITO;5;19196
LA CUEVITA;5;19196
SAN JUAN CHAPULTEPEC;1;19196
EL ROSARIO PARTE BAJA;5;19196
LEONARDO RODRÍGUEZ ALCAINE ETAPA II;2;19196
LA FUNDICIÓN;5;19196
LEONARDO RODRÍGUEZ ALCAINE ETAPA I;2;19196
PINTORES;1;19197
LA FUNDICIÓN;2;19197
MOCTEZUMA;1;19197
MONTE ALBÁN;1;19197
JARDINES DE LA SIERRA;2;19197
VILLAS DE MONTE ALBÁN GEO;2;19197
DEL VALLE;1;19198
LAS PEÑAS;1;19198
SANTA ANITA PARTE ALTA;1;19198
SANTA ANITA PARTE MEDIA;1;19198
SANTA ANITA PARTE BAJA;1;19198
PEDREGAL DEL SUR;1;19198
PROGRESO PARTE ALTA;5;19199
PROGRESO PARTE BAJA;5;19199
EL ROSARIO PARTE ALTA;5;19199
VICENTE SUÁREZ;1;19199
DEL ROSARIO;1;19200
LAS PALMAS;2;19200
LA SOLEDAD;4;19200
LA SOLEDAD;5;19200
LAS CAMPANAS;2;19200
PRIMAVERA;1;19200
COLINAS DE MONTE ALBAN;4;19201
BENITO JUÁREZ;1;19202
SOLIDARIDAD;1;19202
PEÑA CHICA;1;19202
MOCTEZUMA;1;19202
SANTO DOMINGO BARRIO BAJO;9;19202
VILLA DE ETLA;30;19202
SANTO DOMINGO;2;19202
SANTO DOMINGO BARRIO ALTO;12;19202
NATIVITAS ETLA;12;19202
SAN JOSÉ;1;19202
EL PORVENIR;9;19203
SAN JUAN BAUTISTA ATATLAHUCA;12;19203
ZOQUIÁPAN BOCA DE LOS RÍOS;9;19204
CRUZ DE PIEDRA;9;19205
SAN JUAN SOSOLA;9;19205
SAN JERÓNIMO SOSOLA;12;19205
MINAS DE LLANO VERDE;12;19205
SANTA LUCÍA SOSOLA;9;19205
SAN JOSÉ SOSOLA;9;19205
RIO FLORIDO;9;19205
SAN MATEO SOSOLA;9;19205
EL PARIÁN;9;19206
LA CIÉNEGA;9;19206
SANTA MARÍA TEJOTEPEC;9;19206
SAN JUAN BAUTISTA JAYACATLÁN;12;19207
BARRIO BAJO;1;19208
SAN FRANCISCO TELIXTLAHUACA CENTRO;1;19208
CONSTITUCIÓN;1;19208
EL CALVARIO;1;19208
EL GUSANITO;1;19208
EL LLANO;1;19208
SANTA CRUZ EL SALTO;1;19208
CERRO LOMA VENTA;1;19208
ARROYO RÍO SECO;1;19208
CERRO DE PIEDRA BLANCA;1;19208
SAN JOSÉ LA FRAGUA;1;19208
LLANO DE MONJAS;1;19208
LAS SEDAS;9;19209
FAUSTINO G. OLIVERA;9;19209
SAN SEBASTIÁN SEDAS;9;19209
OJO DE AGUA;9;19209
LAS TRANCAS;9;19210
SANTIAGO TENANGO;12;19211
EL CORREO;9;19212
EL TEJOCOTE;9;19213
CENTRO DE LA PRIMERA SECCIÓN;1;19214
SANTA MARÍA TENÉXPAM;12;19214
ESMERALDA DE LA PRIMERA SECCIÓN;1;19214
CENTRO DE LA SEGUNDA SECCIÓN;1;19214
CENTRO DE LA TERCERA SECCIÓN;1;19214
LA PRIMAVERA DE LA SEGUNDA SECCIÓN;1;19214
LA CRUZ DE LA SEGUNDA SECCIÓN;1;19214
GUADALUPE DE LA PRIMERA SECCIÓN;5;19214
OJO DE AGUA DE LA PRIMERA SECCIÓN;5;19214
AGUA BLANCA DE LA PRIMERA SECCIÓN;5;19214
LA CANTERA DE LA PRIMERA SECCIÓN;5;19214
EL GUAYABAL DE LA SEGUNDA SECCIÓN;5;19214
YUTETOTO DE LA SEGUNDA SECCIÓN;5;19214
COQUITO DE LA SEGUNDA SECCIÓN;5;19214
CAÑADA CHISME DE LA PRIMERA SECCIÓN;5;19214
YUTEYITO;9;19214
CRISTO REY DE LA PRIMERA SECCIÓN;5;19214
CANTARRANAS DE LA PRIMERA SECCIÓN;5;19214
EL MEZQUITE DE LA SEGUNDA SECCIÓN;5;19214
EL LLANO DE LA SEGUNDA SECCIÓN;5;19214
JOYAS DEL RÍO BLANCO;9;19215
EL ESPINAL (PIEDRA MORAL);9;19215
SAN JUAN DEL ESTADO;12;19216
PARAJE LA SOLEDAD (EL ARENAL);1;19217
LA CIENEGUITA;1;19217
LA PEÑA;1;19217
MAGDALENA APASCO;12;19217
PARQUE INDUSTRIAL MAQUILADOR 2000;10;19217
SANTA MARTHA ETLA;9;19218
LA LIBERTAD XOCHIMILCO (SEGUNDA SECCIÓN);9;19219
DE LACHE;12;19219
SAN SEBASTIÁN XOCHIMILCO;9;19219
EX-HACIENDA CATANO;2;19219
SAN ISIDRO CATANO;9;19219
DEL SOL;5;19220
SANTIAGO SUCHILQUITONGO CENTRO;1;19220
DEL AGUA BUENA;5;19220
DEL ATAYÚCO;5;19220
DEL PEÑASCO;5;19220
DEL ARENA;5;19220
DE LA REFORMA;5;19220
DE LA SANTA CRUZ;5;19220
DE LAS LIMAS;5;19220
LOS TUNILLOS;5;19220
LÁZARO CÁRDENAS;1;19220
NUEVO;5;19220
EL AGUACATAL;5;19220
TETICHE;5;19220
TIERRA BLANCA;9;19221
EL PEDREGAL;9;19221
EL ZAPOTAL;5;19221
SANTA CRUZ LACHIZOLANA;12;19221
SANTO DOMINGO TLALTINANGO;12;19221
EL LLANO GRANDE;9;19222
RANCHO EL ZOPILOTE;9;19222
SAN JUAN BAUTISTA GUELACHE;12;19223
LA FINCA;9;19224
SAN MIGUEL ETLA;12;19225
SANTOS DEGOLLADO;12;19225
ASUNCIÓN ETLA;1;19225
SAN GABRIEL ETLA;12;19225
SAN MIGUEL;2;19225
EL VERGEL;1;19225
LOS REYES;2;19226
REYES ETLA;12;19226
SAN JUAN DE DIOS;5;19226
HACIENDA VIEJA (ZOMPANTLE);13;19227
LOS TRES REYES;9;19227
SAN LÁZARO ETLA;9;19227
LOMAS DE NAZARENO;1;19228
NAZARENO ETLA;12;19228
SAN ANDRÉS ZAUTLA;12;19229
ALEMÁN;12;19229
SAN ISIDRO;12;19229
LA REFORMA;1;19230
CRISTO REY;1;19230
LA AZUCENA;1;19230
EL ZAPOTAL;2;19230
EL PANTEÓN;1;19230
SAN AGUSTÍN ETLA;12;19230
LA FERRERÍA;1;19230
VISTA HERMOSA;5;19230
RANCHO DE LOS JIMÉNEZ;9;19231
RÍO SALINAS;9;19231
CHAPULTEPEC;1;19232
SOLEDAD ETLA;12;19232
EL SABINO;9;19232
ESTANZUELA;5;19232
MATADAMAS;5;19232
SANTO TOMAS MAZALTEPEC;12;19233
GUADALUPE ETLA;12;19234
SAN JOSE EL MOGOTE;9;19234
LA RESURRECCIÓN;1;19235
LA CAPELLANÍA;1;19235
6 DE ENERO;2;19236
LA AZUCENA;1;19236
RANCHO EL MEZQUITE;9;19236
SAN PABLO ETLA;12;19236
SAN SEBASTIÁN;12;19236
SANTA CRUZ ETLA;9;19236
MORELOS;12;19236
MORELOS;2;19236
BENITO JUÁREZ;2;19236
LA OCOTERA;13;19236
FRATERNIDAD MAZATECA;2;19236
VILLAS HACIENDA BLANCA;2;19237
LA ESMERALDA;2;19237
EL MANANTIAL;2;19237
HACIENDA BLANCA;12;19237
RINCONADA SAN PABLO;2;19237
EL ROBLE;2;19237
MORELOS;5;19237
RESIDENCIAL HACIENDA BLANCA;2;19237
CAPUFE;2;19237
SAN FELIPE TEJALÁPAM;12;19238
LA UNIÓN;1;19238
JALAPA DEL VALLE;9;19239
LA UNIÓN;9;19239
SAN LORENZO CACAOTEPEC;12;19240
PARAJE HACIENDA VIEJA;1;19240
JUQUILITA;1;19240
LA JOYA;1;19240
RIVERAS DEL ARENAL;1;19240
EL ARENAL;1;19240
LA GLORIA;1;19240
LA SOLEDAD;1;19240
LA ERA;1;19240
ALTO;5;19240
BAJO;5;19240
SAN ANTONIO;1;19240
SAN ISIDRO;1;19240
PARAJE LOS PINTOS;9;19240
LOMA RIGUES;9;19240
7 DE MARZO;1;19241
GUADALUPE HIDALGO;9;19241
SANTIAGO ETLA;12;19241
LA ESPINERA;1;19241
ANDRÉS HENESTROSA;2;19241
SAN LUIS;2;19241
SANTA ANA;2;19241
EL MANANTIAL;1;19241
PARAJE LA SOLEDAD;1;19241
RANCHO LAS TAREAS;9;19241
RANCHO EL ENSUEÑO;9;19241
EL PASTÓN;9;19241
EL TRAPICHE;9;19241
LOMA CUACHE;9;19241
PARAJE EL ZAPOTAL;9;19241
PARAJE SAN NICOLÁS;9;19241
SAN MATEO TEPANTEPEC;9;19242
SANTA MARÍA PEÑOLES;12;19242
RÍO HONDO;9;19242
SAN PEDRO CHOLULA;9;19243
SANTA CATARINA ESTETLA;9;19243
SAN JOSÉ CONTRERAS TEPANTEPEC;9;19243
DURAZNAL;9;19243
CAÑADA DE HIELO;9;19243
SAN ISIDRO BUENAVISTA;9;19243
EL MANZANITOTEPANTEPEC;9;19243
LOS SABINOS;9;19243
TIERRA CALIENTE TEPANTEPEC;9;19243
EL CARRIZAL;9;19243
CERRO DE ÁGUILA (TIERRA CALIENTE);9;19244
LOMA CORAZÓN;9;19244
LOMA DE JÍCARA (TIERRA CALIENTE);9;19244
TIERRA CALIENTE;9;19244
LLANO GRANDE (TIERRA CALIENTE);9;19244
TIERRA COLORADA (TIERRA CALIENTE);9;19244
