NOMBRE;TIPOS COLONIAS ID;CODIGOS POSTALES MUNICIPIOS ID
CIUDAD VICTORIA CENTRO;1;26945
LOS FRESNOS;2;26945
ENRIQUE CÁRDENAS GONZÁLEZ;1;26946
JOSÉ LÓPEZ PORTILLO;1;26946
TRÁNSITO;1;26946
EL MIRADOR;1;26947
EMILIO CABALLERO;1;26947
GENERAL LUCIO BLANCO;1;26947
77 BATALLÓN DE INFANTERÍA;19;26947
ALIANZA DE COLONOS;1;26947
VILLA MARÍA;1;26947
ZEFERINO FAJARDO LUNA;1;26947
LUIS DONALDO COLOSIO;1;26947
ESTRELLA;1;26948
LAS ENFERMERAS;2;26948
PRIVADA SAN IGNACIO;2;26948
CAÑÓN DE LA PEREGRINA;2;26949
VAMOS TAMAULIPAS;1;26949
SIERRA VISTA;2;26949
COLINAS DEL VALLE;2;26950
FRAMBOYANES;2;26950
INDUSTRIAL;1;26950
PRADERAS DE VICTORIA;2;26950
LOMAS DE CALAMACO;2;26950
LA LIBERTAD II;1;26950
VALLE ESMERALDA;2;26950
LAS MONTAÑAS;2;26950
COLINAS DE SAN ROBERTO;2;26950
AGUA FRÍA II;2;26950
AGUA FRÍA I;2;26950
BURÓCRATAS MUNICIPALES II;1;26951
LA LIBERTAD;1;26951
LA PRESITA;1;26951
MONTE ALTO;1;26951
RINCÓN DEL VALLE;2;26951
VILLAS DEL PEDREGAL;2;26951
RINCÓN DEL VALLE ELITE;2;26951
ADOLFO LÓPEZ MATEOS;1;26952
NORBERTO TREVIÑO ZAPATA;1;26952
VALLE DE AGUAYO;2;26952
VALLE ESCONDIDO;2;26952
LÁZARO CÁRDENAS;13;26953
HACIENDAS DEL COLIBRÍ;2;26953
RESIDENCIAL CAMPESTRE JANAMBRES;2;26953
PUERTA DE HIERRO;2;26953
RESIDENCIAL SANTA MARÍA;2;26953
SAN GABRIEL;2;26953
LOS OLIVOS;2;26953
LILIA ZOZAYA;1;26953
AZTECA;4;26954
BURÓCRATAS MUNICIPALES;1;26954
DOCTORES;1;26954
IGNACIO ZARAGOZA;1;26954
ITACE;2;26954
MARIANO MATAMOROS;1;26954
POZA MADRE;1;26954
REVOLUCIÓN VERDE;1;26954
TEOCALTICHE;2;26954
UPYSSET;6;26954
BOSQUE REAL;2;26954
VILLA ORIENTE;2;26954
COLINAS DEL BOSQUE;2;26954
RESIDENCIAL LOS MILAGROS;2;26954
GRANJAS CAMPESTRE;2;26954
VISTA AZUL;2;26954
SANTA MARÍA;2;26954
VALLE ORIENTE;2;26954
SANTA FE;2;26954
BOSQUES DEL SUR;2;26954
PRIVADA SAN MIGUEL;2;26954
LOS ENCINOS CAMPESTRE;2;26954
SAN ALBERTO;2;26954
LAS ALAMEDAS;2;26954
PEDREGAL CAMPESTRE;2;26954
NUEVA AURORA;2;26954
PRIVANZAS II;2;26954
ADOLFO LÓPEZ MATEOS (AMPLIACIÓN);1;26955
INGENIERO AGRÓNOMO CARLOS ANZURES;1;26955
BUGAMBILIAS;4;26955
DEL SOL;1;26955
DEL VALLE;2;26955
LAS HUERTAS;2;26955
RESIDENCIAL CABAÑAS DE VICTORIA;2;26955
VISTA VERDE;2;26955
JARDINES DE SAN JOSÉ;2;26955
PRIVADA CABAÑAS;2;26955
VILLAS DEL BOSQUE;2;26955
REAL DE TEOCALTICHE;2;26955
LA FLORIDA;2;26955
MAGISTRADOS;3;26955
LAS ALAZANAS;1;26955
BOSQUES CAMPESTRE;2;26955
SIGLO XXI;6;26955
PRIVADA BILBAO;2;26955
MONTES ALTOS;2;26955
AMPLIACIÓN CAMPESTRE;2;26955
RESIDENCIAL LA MISIÓN;2;26955
HACIENDAS DEL SOL;2;26955
MAGISTERIAL;1;26956
PRIVADA CANTERAS;3;26956
LAS AMÉRICAS;1;26957
ARBOLEDAS;2;26957
PETROLEROS;2;26957
VILLA JARDÍN;2;26957
VILLARREAL;2;26957
AMPLIACIÓN VILLARREAL;2;26957
SAN ÁNGEL;2;26957
MONTE ALTO;2;26957
PRIVADAS DE LA SALLE;2;26957
BENITO JUÁREZ;13;26958
CLUB CAMPESTRE;2;26958
INFONAVIT JARDÍN;1;26958
RESIDENCIAL LOS NARANJOS;2;26958
CAMINO REAL;2;26958
LOS SAUCES;2;26958
LOS LAGOS;2;26958
VERONA RESIDENCIAL;2;26958
LOS LAURELES;2;26958
ROYAL COUNTRY;2;26958
MISIÓN SAN AGUSTÍN;2;26958
LOS CRISTALES;2;26958
SANTA LAURA;2;26958
SANTA BÁRBARA;2;26958
VILLA CAMPESTRE;2;26958
RESIDENCIAL CAMPESTRE;2;26959
PRIVANZAS I;2;26959
LAS VILLAS;2;26959
AMPLIACIÓN MIGUEL ALEMÁN;2;26960
BANRURAL;1;26960
COLINAS DEL MIRADOR;1;26960
HÉROE DE NACOZARI;1;26960
IMPERIAL;2;26960
JARDÍN NORTE;1;26960
LÁZARO CÁRDENAS;1;26960
LOS ÉBANOS;2;26960
MIGUEL ALEMÁN;1;26960
SIERRA VENTANA;2;26960
JUNTA LOCAL DE CAMINOS;2;26960
NUEVO SANTANDER;1;26960
PRIVADA JARDINES DEL SAUCE;2;26960
FSTSE;1;26960
VILLA ALPINA;2;26960
INFONAVIT MIGUEL ALEMÁN;1;26960
CONJUNTO HABITACIONAL PANORAMA;4;26960
MI RANCHITO;2;26960
LA CIMA;2;26960
MIRA SIERRA;2;26960
CUMBRES;2;26960
PRIVADAS DEL NOGALAR;2;26960
LA SIERRA;2;26960
LA ESCONDIDA;1;26961
